recp_id,compound_id,docking_score,is_active,percentage_seen,percentage_active,log_dx,prev_dy,prev_dx,prev_log_dx,area_dy_dx_inc,area_dy_log_dx_inc,running_area_dy_dx,running_area_dy_log_dx,recp_name
1,ZINC000302699560,-70.7300033569336,0,0.0364963503649635,2.5210084033613445,-0.1459168542734626,2.5210084033613445,0.0346715328467153,-0.15334231917718,0.0046003802981046,0.0187196594211363,0.0414034226829417,0.2120222284690958,D4
1,ZINC000521570499,-70.54000091552734,0,0.0383211678832116,2.5210084033613445,-0.1388537545834832,2.5210084033613445,0.0364963503649635,-0.1459168542734626,0.0046003802981046,0.0178061336722168,0.0460038029810464,0.2298283621413127,D4
1,ZINC000080960073,-70.4800033569336,0,0.0401459854014598,2.5210084033613445,-0.1321192925540543,2.5210084033613445,0.0383211678832116,-0.1388537545834832,0.0046003802981046,0.0169776353683083,0.050604183279151,0.246805997509621,D4
1,ZINC000159509070,-70.31999969482422,0,0.041970802919708,2.5210084033613445,-0.1256842408222587,2.5210084033613445,0.0401459854014598,-0.1321192925540543,0.0046003802981046,0.0162228194919215,0.0552045635772557,0.2630288170015425,D4
1,ZINC000450557088,-70.19999694824219,0,0.0437956204379562,2.5210084033613445,-0.119523105590921,2.5210084033613445,0.041970802919708,-0.1256842408222587,0.0046003802981046,0.015532273692448,0.0598049438753603,0.2785610906939906,D4
1,ZINC000359552375,-70.18000030517578,1,0.0456204379562043,3.361344537815126,-0.1136135166041105,2.5210084033613445,0.0437956204379562,-0.119523105590921,0.0053671103477887,0.0173811440788544,0.0651720542231491,0.295942234772845,D4
1,ZINC000270959340,-70.13999938964844,0,0.0474452554744525,3.361344537815126,-0.1079357368378504,3.361344537815126,0.0456204379562043,-0.1136135166041105,0.0061338403974728,0.0190849740042356,0.0713058946206219,0.3150272087770807,D4
1,ZINC000265162697,-70.12000274658203,0,0.0492700729927007,3.361344537815126,-0.1024722647751272,3.361344537815126,0.0474452554744525,-0.1079357368378504,0.0061338403974728,0.0183646119755399,0.0774397350180948,0.3333918207526206,D4
1,ZINC000345765694,-70.04000091552734,0,0.0510948905109489,3.361344537815126,-0.0972075090473832,3.361344537815126,0.0492700729927007,-0.1024722647751272,0.0061338403974728,0.0176966579083831,0.0835735754155676,0.3510884786610038,D4
1,ZINC000452104081,-70.0199966430664,0,0.052919708029197,3.361344537815126,-0.0921275201951377,3.361344537815126,0.0510948905109489,-0.0972075090473832,0.0061338403974728,0.0170755927806574,0.0897074158130405,0.3681640714416612,D4
1,ZINC000650720303,-69.88999938964844,0,0.0547445255474452,3.361344537815126,-0.0872197679215689,3.361344537815126,0.052919708029197,-0.0921275201951377,0.0061338403974728,0.0164966462977101,0.0958412562105134,0.3846607177393714,D4
1,ZINC000298731694,-69.86000061035156,0,0.0565693430656934,3.361344537815126,-0.0824729548833654,3.361344537815126,0.0547445255474452,-0.0872197679215689,0.0061338403974728,0.0159556740779947,0.1019750966079862,0.4006163918173661,D4
1,ZINC000280696398,-69.86000061035156,0,0.0583941605839416,3.361344537815126,-0.077876860054821,3.361344537815126,0.0565693430656934,-0.0824729548833654,0.0061338403974728,0.0154490582472081,0.1081089370054591,0.4160654500645743,D4
1,ZINC000372295546,-69.83000183105469,0,0.0602189781021897,3.361344537815126,-0.0734222062021605,3.361344537815126,0.0583941605839416,-0.077876860054821,0.0061338403974728,0.0149736263954975,0.1142427774029319,0.4310390764600718,D4
1,ZINC000517755157,-69.6500015258789,1,0.0620437956204379,4.201680672268908,-0.0691005471473713,3.361344537815126,0.0602189781021897,-0.0734222062021605,0.0069005704471569,0.0163424081903794,0.1211433478500889,0.4473814846504512,D4
1,ZINC000373387982,-69.62999725341797,1,0.0638686131386861,5.042016806722689,-0.0649041713780311,4.201680672268908,0.0620437956204379,-0.0691005471473713,0.0084340305465252,0.0193950140599756,0.1295773783966141,0.4667764987104268,D4
1,ZINC000619015225,-69.5999984741211,0,0.0656934306569343,5.042016806722689,-0.0608260192390272,5.042016806722689,0.0638686131386861,-0.0649041713780311,0.0092007605962092,0.0205621116252296,0.1387781389928234,0.4873386103356565,D4
1,ZINC000488256763,-69.55000305175781,1,0.0675182481751824,5.88235294117647,-0.056859611472458,5.042016806722689,0.0656934306569343,-0.0608260192390272,0.0099674906458933,0.0216652525064705,0.1487456296387168,0.5090038628421271,D4
1,ZINC000284910391,-69.55000305175781,0,0.0693430656934306,5.88235294117647,-0.0529989872891863,5.88235294117647,0.0675182481751824,-0.056859611472458,0.0107342206955774,0.0227095540192453,0.1594798503342943,0.5317134168613724,D4
1,ZINC000480408888,-69.05000305175781,1,0.0711678832116788,6.722689075630252,-0.0492386504859566,5.88235294117647,0.0693430656934306,-0.0529989872891863,0.0115009507452615,0.0236996017010274,0.1709808010795558,0.5554130185623999,D4
1,ZINC000367447199,-68.93000030517578,1,0.072992700729927,7.563025210084033,-0.0455735223854689,6.722689075630252,0.0711678832116788,-0.0492386504859566,0.0130344108446298,0.0261794864320552,0.1840152119241856,0.5815925049944551,D4
1,ZINC000573216829,-68.86000061035156,1,0.0748175182481751,8.403361344537815,-0.0419989005882112,7.563025210084033,0.072992700729927,-0.0455735223854689,0.0145678709439981,0.0285368967007967,0.1985830828681838,0.610129401695252,D4
1,ZINC000130532671,-68.83999633789062,1,0.0766423357664233,9.243697478991598,-0.0385104226954895,8.403361344537815,0.0748175182481751,-0.0419989005882112,0.0161013310433662,0.0307806872887205,0.21468441391155,0.6409100889839725,D4
1,ZINC000176752603,-68.76000213623047,1,0.0784671532846715,10.084033613445378,-0.0351040343015942,9.243697478991598,0.0766423357664233,-0.0385104226954895,0.0176347911427344,0.0329188794368036,0.2323192050542845,0.6738289684207762,D4
1,ZINC000185084297,-68.76000213623047,0,0.0802919708029197,10.084033613445378,-0.0317759606660605,10.084033613445378,0.0784671532846715,-0.0351040343015942,0.0184015211924185,0.0335604064087425,0.250720726246703,0.7073893748295188,D4
1,ZINC000343213239,-68.29000091552734,1,0.0821167883211678,10.92436974789916,-0.0285226815696751,10.084033613445378,0.0802919708029197,-0.0317759606660605,0.0191682512421026,0.0341730997519474,0.2698889774888057,0.7415624745814663,D4
